Dataset Replicate MAFFT_SPFN MAFFT_SPFP MAFFT_TC MAFFT_FP MAFFT_FN MAFFT_Time Muscle_SPFN Muscle_SPFP Muscle_TC Muscle_FP Muscle_FN Muscle_Time True_FP True_FN
1000M1 R0 0.9956 0.9890 0.0000 0.6931 0.6921 53.83 0.9940 0.9892 0.0000 0.7131 0.7121 45.90 0.0913 0.0903 
1000M1 R1 0.9954 0.9886 0.0000 0.6389 0.6329 50.48 0.9941 0.9894 0.0000 0.6780 0.6720 44.91 0.1023 0.0963 
1000M1 R2 0.9965 0.9911 0.0000 0.7362 0.7322 54.45 0.9945 0.9900 0.0000 0.7563 0.7523 45.67 0.1093 0.1053 
1000M1 R3 0.9950 0.9877 0.0000 0.7011 0.6971 53.76 0.9946 0.9904 0.0000 0.7161 0.7121 45.41 0.0973 0.0933 
1000M1 R4 0.9965 0.9911 0.0000 0.7392 0.7332 53.57 0.9949 0.9907 0.0000 0.7543 0.7482 49.87 0.1474 0.1414 
1000M1 R5 0.9958 0.9895 0.0000 0.6820 0.6780 54.97 0.9945 0.9901 0.0000 0.6961 0.6921 45.47 0.0903 0.0863 
1000M1 R6 0.9957 0.9894 0.0000 0.6750 0.6710 54.33 0.9949 0.9909 0.0000 0.7101 0.7061 46.89 0.1033 0.0993 
1000M1 R7 0.9940 0.9852 0.0000 0.6981 0.6931 52.83 0.9886 0.9792 0.0000 0.7111 0.7061 45.59 0.1204 0.1153 
1000M1 R8 0.9965 0.9911 0.0000 0.7011 0.6961 53.56 0.9942 0.9897 0.0000 0.7101 0.7051 46.40 0.1174 0.1123 
1000M1 R9 0.9954 0.9886 0.0000 0.6780 0.6750 52.07 0.9947 0.9904 0.0000 0.7011 0.6981 47.37 0.1163 0.1133 
1000M4 R0 0.0667 0.0421 0.3298 0.0863 0.0592 25.94 0.0475 0.0346 0.4960 0.0933 0.0662 37.49 0.0853 0.0582 
1000M4 R1 0.0603 0.0323 0.3402 0.0612 0.0401 22.37 0.0381 0.0263 0.5003 0.0572 0.0361 33.46 0.0572 0.0361 
1000M4 R2 0.0314 0.0166 0.4409 0.0772 0.0431 19.42 0.0196 0.0137 0.6254 0.0772 0.0431 32.74 0.0762 0.0421 
1000M4 R3 0.0476 0.0333 0.4128 0.0873 0.0532 21.33 0.0238 0.0172 0.5673 0.0832 0.0491 33.96 0.0832 0.0491 
1000M4 R4 0.0497 0.0309 0.3051 0.0682 0.0391 24.60 0.0321 0.0206 0.5116 0.0682 0.0391 31.11 0.0692 0.0401 
1000M4 R5 0.0653 0.0410 0.3489 0.0772 0.0562 23.02 0.0490 0.0339 0.4632 0.0682 0.0471 30.53 0.0702 0.0491 
1000M4 R6 0.0594 0.0372 0.2148 0.0732 0.0552 25.48 0.0467 0.0338 0.4512 0.0752 0.0572 32.70 0.0732 0.0552 
1000M4 R7 0.0530 0.0323 0.3810 0.0853 0.0652 20.48 0.0272 0.0209 0.5589 0.0853 0.0652 29.26 0.0843 0.0642 
1000M4 R8 0.0414 0.0198 0.3298 0.0592 0.0441 23.26 0.0305 0.0212 0.5095 0.0582 0.0431 30.88 0.0622 0.0471 
1000M4 R9 0.0600 0.0393 0.3236 0.0712 0.0431 21.93 0.0333 0.0192 0.5830 0.0732 0.0451 28.91 0.0712 0.0431 
16S.M R0 0.2487 0.2144 0.0077 0.5468 0.0290 25.66 0.2644 0.2394 0.0000 0.5546 0.0367 49.32 0.5223 0.0045 
